MA_NHOMSANPHAM,NHOMSANPHAM,MOTA_NHOM,MABH
XCG_BB,Bảo hiểm bắt buộc,Bảo hiểm bắt buộc theo quy định của nhà nước,XCG
XCG_TN,Bảo hiểm tự nguyện,Bảo hiểm tự nguyện theo nhu cầu của khách hàng,XCG
BHAT,Bảo hiểm tự nguyện,Bảo hiểm an tâm sống khỏe,CN
BHSK,Bảo hiểm tự nguyện,Bảo hiểm sức khỏe toàn diện,CN
BHTN,Bảo hiểm tự nguyện,Bảo hiểm tai nạn con người,CN
BHTNĐ,Bảo hiểm tự nguyện,Bảo hiểm tai nạn hộ gia đình sử dụng điện,CN
BHHS,Bảo hiểm tự nguyện,"Bảo hiểm học sinh, sinh viên",CN
BHCN,Bảo hiểm tự nguyện,Bảo hiểm con người mức trách nhiệm cao VNI Care,CN
BHBT,Bảo hiểm tự nguyện,Bảo hiểm bồi thường người lao động,CN
