TUOI,NHOM_TUOI
1,Dưới 18
2,Dưới 18
3,Dưới 18
4,Dưới 18
5,Dưới 18
6,Dưới 18
7,Dưới 18
8,Dưới 18
9,Dưới 18
10,Dưới 18
11,Dưới 18
12,Dưới 18
13,Dưới 18
14,Dưới 18
15,Dưới 18
16,Dưới 18
17,Dưới 18
18,18-23
19,18-23
20,18-23
21,18-23
22,18-23
23,18-23
24,23-30
25,23-30
26,23-30
27,23-30
28,23-30
29,23-30
30,23-30
31,30-40
32,30-40
33,30-40
34,30-40
35,30-40
36,30-40
37,30-40
38,30-40
39,30-40
40,30-40
41,40-49
42,40-49
43,40-49
44,40-49
45,40-49
46,40-49
47,40-49
48,40-49
49,40-49
50,50-55
51,50-55
52,50-55
53,50-55
54,50-55
55,50-55
56,55 Trở nên
57,55 Trở nên
58,55 Trở nên
59,55 Trở nên
60,55 Trở nên
61,55 Trở nên
62,55 Trở nên
63,55 Trở nên
64,55 Trở nên
65,55 Trở nên
66,55 Trở nên
67,55 Trở nên
68,55 Trở nên
69,55 Trở nên
70,55 Trở nên
71,55 Trở nên
72,55 Trở nên
73,55 Trở nên
74,55 Trở nên
75,55 Trở nên
76,55 Trở nên
77,55 Trở nên
78,55 Trở nên
79,55 Trở nên
80,55 Trở nên
81,55 Trở nên
82,55 Trở nên
83,55 Trở nên
84,55 Trở nên
85,55 Trở nên
86,55 Trở nên
87,55 Trở nên
88,55 Trở nên
89,55 Trở nên
90,55 Trở nên
91,55 Trở nên
92,55 Trở nên
93,55 Trở nên
94,55 Trở nên
95,55 Trở nên
96,55 Trở nên
97,55 Trở nên
98,55 Trở nên
99,55 Trở nên
100,55 Trở nên
