MA_KH,Revenue,Cumulative_Pct
KH029569,315000000.0,0.0408967615928601
KH032151,315000000.0,0.0817935231857202
KH028535,294000000.0,0.11996383400572294
KH036010,294000000.0,0.15813414482572571
KH026156,247800000.0,0.1903062639454423
KH035987,247800000.0,0.22247838306515894
KH034122,225000000.0,0.25169035563148756
KH035364,225000000.0,0.2809023281978162
KH032087,225000000.0,0.31011430076414487
KH024856,225000000.0,0.3393262733304735
KH031183,225000000.0,0.3685382458968021
KH035594,218400000.0,0.3968933339345185
KH035027,216000000.0,0.42493682759819396
KH028473,216000000.0,0.45298032126186943
KH034010,216000000.0,0.48102381492554486
KH034428,210000000.0,0.5082883226541183
KH031942,210000000.0,0.5355528303826916
KH029795,210000000.0,0.5628173381112651
KH037398,210000000.0,0.5900818458398385
KH032038,210000000.0,0.6173463535684119
